normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_sideways_fenwick
0.031921, 0.033839, 0.03046, 0.030513, 0.041224, 0.041834, 0.038435, 0.029832, 0.02902, 0.02927, 0.029168, 0.016263, 0.023391, 0.019938, 0.025205, 0.024226, 0.023168, 0.024114, 0.028779, 0.057143, 0.030523
0.053027, 0.033436, 0.029574, 0.030207, 0.041329, 0.069966, 0.038359, 0.029736, 0.028962, 0.029261, 0.029177, 0.016256, 0.023399, 0.019778, 0.024749, 0.024477, 0.02317, 0.024395, 0.029281, 0.032962, 0.0413
0.032167, 0.033378, 0.030402, 0.030895, 0.041319, 0.041956, 0.038355, 0.029784, 0.029037, 0.029238, 0.029202, 0.016356, 0.023371, 0.019989, 0.024751, 0.024217, 0.023136, 0.024131, 0.029387, 0.032575, 0.030108
0.031775, 0.033162, 0.030355, 0.030689, 0.041315, 0.041878, 0.038372, 0.029717, 0.045814, 0.029259, 0.029153, 0.016297, 0.0235, 0.01977, 0.024781, 0.024275, 0.02318, 0.024272, 0.028779, 0.033586, 0.030278
0.032084, 0.034174, 0.030178, 0.030188, 0.041338, 0.041981, 0.038363, 0.029718, 0.028995, 0.029234, 0.029207, 0.01638, 0.023388, 0.020001, 0.024769, 0.024227, 0.023137, 0.024137, 0.029262, 0.032634, 0.029632
0.032129, 0.033395, 0.030409, 0.03078, 0.041305, 0.041858, 0.038339, 0.02972, 0.028992, 0.029259, 0.029182, 0.016302, 0.023361, 0.019954, 0.024764, 0.024225, 0.023155, 0.024045, 0.029733, 0.03236, 0.0301
0.032093, 0.03368, 0.030377, 0.030907, 0.041451, 0.041909, 0.038432, 0.029746, 0.028995, 0.029298, 0.029202, 0.01626, 0.023379, 0.019774, 0.024771, 0.024206, 0.023155, 0.024104, 0.028827, 0.033463, 0.029627
0.032348, 0.033774, 0.030525, 0.030849, 0.041845, 0.04185, 0.038437, 0.029738, 0.029069, 0.029268, 0.029162, 0.016286, 0.023364, 0.019769, 0.024773, 0.024226, 0.023142, 0.024053, 0.029261, 0.032347, 0.030105
0.032388, 0.033699, 0.030817, 0.030279, 0.041201, 0.041846, 0.038534, 0.029739, 0.029066, 0.029279, 0.029233, 0.016283, 0.023332, 0.020051, 0.024769, 0.024266, 0.023133, 0.024163, 0.029328, 0.033069, 0.03003
0.032235, 0.033803, 0.030366, 0.03083, 0.041383, 0.041937, 0.038354, 0.030237, 0.028966, 0.029232, 0.029184, 0.016255, 0.023505, 0.019774, 0.024792, 0.024215, 0.023149, 0.024074, 0.029598, 0.032676, 0.030291
